,id,address,categories,city,latitude,longitude,name,postalCode,province,dateAdded_f,dateUpdated_f
6000,AV-VwUo4a4HuVbedGeg0,6943 E Broad St,"Asian Restaurants,Carry-out food,Steak and chop restaurants,Fast Food Restaurants,Japanese restaurants,Barbecue,Spare rib restaurants,Take out restaurants,Restaurants",Columbus,39.9822,-82.8186,Genji Go,43213,OH,2017-11-07,2019-04-01
6217,AVzdssQr-gnIPe8DTgvB,1634 Northwest Blvd,"Asian Restaurants,Carry-out food,Restaurant,Vietnamese Restaurant,Vietnamese Restaurants,Asian Restaurant,Take Out Restaurants,Fast Food Restaurants,Restaurants,Chinese restaurants",Columbus,39.9918,-83.0402,Nong's Hunan Express,43212,OH,2017-06-25,2019-03-31
6218,AWi44wnc3-Khe5l_0trB,8585 Lyra Drive,Fast Food,Columbus,40.1403,-82.9771,Wendy's,43240,OH,2019-02-04,2019-03-31
6219,AVwc_QuD_7pvs4fz1FMl,4542 Cleveland Ave,"Carry-out food,Take Out,Caterers,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Restaurants,Asian Restaurants,Restaurant,Seafood Restaurants,Food & Beverage Delivery Services,Catering,Chinese restaurants",Columbus,40.0621,-82.9526,Golden Phoenix Restaurant,43231,OH,2016-04-03,2019-03-31
6221,AVwdwv07ByjofQCxsQsL,5328 N High St,"Restaurant,Caterers,Greek Restaurant,Greek Restaurants,Turkish restaurants,Mediterranean Restaurants,Fast Food Restaurants,Take Out Restaurants,Armenian restaurants,Restaurants",Columbus,40.0713,-83.0188,Acropolis Gyro Palace,43214,OH,2016-04-02,2019-03-31
6222,AVwcwJ0mIN2L1WUfof95,1051 Gemini Pl,"Asian Restaurants,American Restaurants,Restaurant,Japanese Restaurants,Seafood Restaurants,Sushi Restaurant,Korean Restaurants,Take Out Restaurants,Fast Food Restaurants,Sushi Bars,Restaurants",Columbus,40.1467,-82.987,SUSHI EN,43240,OH,2016-03-28,2019-03-31
6223,AVzoFqpMFcQ3k02bCzX3,1455 Olentangy River Rd,"Restaurant,American Restaurants,Carry-out food,Breakfast,American Restaurant,Family Style Dining,Fast Food Restaurants,Family Style Restaurants,Restaurants",Columbus,39.9898,-83.0264,Bob Evans,43212,OH,2017-06-27,2019-03-31
6224,AVwect5z_7pvs4fzDFHE,2038 Bethel Rd,"Asian Restaurants,Restaurant,Caterers,Chinese Restaurants,Cocktail Lounges,Bar & Grills,Fast Food Restaurants,Take Out Restaurants,Catering,Restaurants",Columbus,40.0644,-83.0708,Hunan Lion Gourmet Chinese,43220,OH,2015-11-19,2019-03-31
6226,AVwdG-qR_7pvs4fz2WXs,1100 Cleveland Ave,"Southern / Soul Food Restaurant and Fried Chicken Joint,Fried Chicken Joint,Take Out Restaurants,Fast Food Restaurants,Southern / Soul Food Restaurant,Chicken Restaurants,Catering,Restaurants",Columbus,39.9867,-82.9887,Church's Chicken,43201,OH,2015-10-20,2019-03-31
6392,AVwdMQTr_7pvs4fz3Oj2,3591 W Broad St,"Restaurant,Caterers,Greek Restaurant,Greek Restaurant and Eastern European Restaurant,Greek Restaurants,Mediterranean Restaurants,Eastern European Restaurant,Take Out Restaurants,Fast Food Restaurants,Restaurants",Columbus,39.953548,-83.096183,1 Gyro Shoppe,43228,OH,2015-10-23,2019-03-28
6426,AVwd1i8lIN2L1WUfzpqi,1000 N High St,"Carry-out food,Mexican Restaurants,Taco Place,Tex-mex restaurants,Mexican Restaurant, Burrito Place, and Taco Place Glen Echo,Southwestern restaurants,Take Out Restaurants,Fast Food Restaurants,Karaoke,Restaurants,Mexican Restaurant,Mexican Restaurant, Burrito Place, and Taco Place Short North,Burrito Place",Columbus,39.982757,-83.004459,Chipotle Mexican Grill,43201,OH,2015-09-13,2019-03-28
6555,AVweVVirIN2L1WUf4Agq,3747 E Broad St,"Hamburgers & Hot Dogs,Take Out Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Family Style Restaurants,Hamburgers and Hot Dogs,Restaurants,Food",Columbus,39.973351,-82.90105,Jam Restaurants,43213,OH,2016-04-02,2019-03-26
6565,AVwee9mBIN2L1WUf5W3D,1519 Schrock Rd,"Ice Cream Parlors,Restaurant,Ice Cream Shop, Dog Run, and Airport,Ice Cream Shop, Dog Run, and Airport Devonshire,Airport,Fast Food Restaurant,Ice Cream Store,Dog Run,Restaurants,Ice Cream Shop",Columbus,40.104914,-82.975618,Dairy Queen,43229,OH,2015-10-23,2019-03-26
6608,AVwd-VRmIN2L1WUf03ti,2350 E Dublin Granville Rd,"Natural food restaurants,Carry-out food,Caterers,Seafood restaurants,Chinese Restaurants,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Restaurants,Asian Restaurants,Juice bars,Chinese Restaurant,Vegetarian restaurants,Thai restaurants,Health food restaurants",Columbus,40.086678,-82.955685,Hunan House,43229,OH,2015-10-23,2019-03-26
6849,AVwdKEYIByjofQCxmFjD,3089 E Main St,"Carry-out food,Caterers,Restaurant delivery service,American restaurants,Karaoke,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Pizza Place Eastmoor,Restaurants,Pizza,Pizza Place,Barbecue",Columbus,39.956268,-82.91589,Pizza Hut,43209,OH,2015-10-23,2019-03-22
6854,AVwcfr8b_7pvs4fzvsLW,1340 N Hamilton Rd,"Carry-out food,Caterers,Delicatessens,American Restaurant,Take Out Restaurants,Fast Food Restaurants,Deli / Bodega,Restaurants,Delis And Delicatessens,Sandwich Place and American Restaurant,Sandwich shops,American Restaurant and Sandwich Place,wich Place,Sandwiches,Catering,Sandwich Place",Columbus,40.05364,-82.86223,Jersey Mike's Subs,43230,OH,2015-09-13,2019-03-22
6855,AVwc-nAv_7pvs4fz0-Ve,331 S Hamilton Rd,"Carry-out food,Caterers,Restaurant delivery service,Delicatessens,Fast Food Restaurants,Home delivery beer and beverages,Sandwiches,Sandwich Place,Sandwich Place East Columbus,Restaurants,Sandwich Shops",Columbus,40.01058131,-82.86764039,Jimmy John's,43230,OH,2016-02-16,2019-03-22
7199,AVweQEFPIN2L1WUf3TGb,406 Granville St,"Carry-out food,Caterers,Delicatessens,American restaurants,Take Out Restaurants,Fast Food Restaurants,Karaoke,Restaurants,Restaurant,Food East Columbus,wich Place,Sandwiches,Food,Sandwich Shops",Columbus,40.018692,-82.86702,Firehouse Subs,43230,OH,2015-10-20,2019-03-14
8012,AWi4wmkLIxWefVJwFa72,1111 N. Hamilton Rd,"Coffee & Tea Shops,Bagels,Doughnuts,Coffeehouses,Fast Food Restaurants,Doughnut Shops,Juice Smoothie Shops,Bakeries,Bagel Shops,Juices & Smoothies,Coffee Tea Shops",Columbus,40.0482,-82.8647,Dunkin' Donuts,43230,OH,2019-02-04,2019-03-02
8735,AVweTpNwkufWRAb5ByRy,2467 S Hamilton Rd,"Carry-out food,Restaurant,Food and Beverage,Fast Food Restaurant, American Restaurant, and Sandwich Place,Fast Food Restaurant,American Restaurant,wich Place,American restaurants,Karaoke,Fast Food Restaurant, American Restaurant, and Sandwich Place Eastland,Restaurants,Fast Food Restaurant and American Restaurant Eastland",Columbus,39.923849,-82.88054,Arby's,43232,OH,2016-10-20,2019-02-01
8820,AWiD3tJv3-Khe5l_yjvW,1210 S James Road,"Pizza,Wedding Reception Locations and Services,Caterers,Mediterranean Restaurants,Take Out Restaurants,Fast Food Restaurants,Banquet Halls and Reception Facilities,Wedding Supplies and Services,Restaurants,Italian Restaurants",Columbus,39.94657,-82.91452,Tat Ristorante Di Famiglia,43227,OH,2019-01-25,2019-01-30
8985,AVwc5Ok5kufWRAb50J3S,1546 Lockbourne Rd,"Asian Restaurants,Restaurant,Chinese Restaurant South Columbus,American restaurants,Fast Food Restaurants,Restaurants,Chinese restaurants",Columbus,39.933702,-82.963597,China Bear,43207,OH,2015-10-23,2019-01-27
9322,AVwdSaZG_7pvs4fz4Sds,960 Oakland Park Ave,"Ice Cream Parlors,Carry-out food,American restaurants,Ice Cream Store,Fast Food,Ice cream and frozen desserts-retail,Ice Cream Shop North Linden,Restaurants,Ice Cream Shop",Columbus,40.0327,-82.9885,Dairy Queen,43224,OH,2015-10-23,2018-12-25
9323,AVwdrRCL_7pvs4fz8Ps1,220 Easton Town Ctr,"Burger Joint,Restaurant,American Restaurant,Fast Food Restaurant,Burger Joint and American Restaurant Easton,Restaurants,Burger Joint and American Restaurant",Columbus,40.0499,-82.9155,Five Guys,43219,OH,2015-10-23,2018-12-25
9324,AVweX5mQkufWRAb5CWgy,1860 Hard Rd,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops",Columbus,40.1176,-83.0886,Subway,43235,OH,2017-01-15,2018-12-25
9345,AVwc9UrgByjofQCxkCIE,1405 N Cassady Ave,"Restaurant,Breakfast Spot,Carry-out food,Coffee Shop,Fast Food Restaurant,American Restaurant,American restaurants,Diner,Diners,Restaurants",Columbus,39.998379,-82.930226,Waffle House,43219,OH,2016-04-01,2018-12-25
9374,AVweHvdUkufWRAb5ALnN,3200 N High St,"Delis And Delicatessens,Carry-out food,Delicatessens,wich Place,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",Columbus,40.02728,-83.01435,SUBWAY,43202,OH,2016-03-31,2018-12-25
9378,AWAGzPed3-Khe5l_bWWS,1 E Campus View Blvd Ste 116,"Carry-out food,Caterers,Delicatessens,American restaurants,Fast Food Restaurants,Take Out Restaurants,Sandwiches,Restaurants,Sandwich Shops",Columbus,40.1178,-83.01468,SUBWAY,43235,OH,2017-11-29,2018-12-25
